dataset_id,source_org,access_type,url_or_portal,auth_required,target_glob,expected_unit,period_start,period_end,status,notes
building_register,MOLIT/Seumter,portal/manual,https://www.eais.go.kr,yes,data/raw/building_register/*/*.txt,building,2005-01-01,2026-02-17,downloaded,Downloaded 5 large files (title/summary_title/private_unit/jijigu/housing_price)
building_permit,MOLIT/Seumter,portal/manual,https://www.eais.go.kr,yes,data/raw/building_permit/*.txt,building_or_permit_record,2005-01-01,2026-02-17,downloaded,Downloaded 5 large files (기본개요/대지위치/동별개요/주택유형/지역지구구역)
housing_permit,MOLIT/Seumter,portal/manual,https://www.eais.go.kr,yes,data/raw/housing_permit/*,housing_or_permit_record,2005-01-01,2026-02-17,downloaded,Downloaded 6 files (기본개요/대지위치/동별개요/행위개요/지역지구구역/관리공동형별개요)
lodging_registration,LocalData (local license data),portal/manual,https://www.localdata.go.kr,yes,data/raw/lodging_registration/*,unit_or_business,2005-01-01,2026-02-17,in_progress,Download lodging business registration snapshot and status updates
zoning_parcel,MOLIT/LX (land use),portal/manual,https://www.eum.go.kr,no,data/raw/zoning/*,parcel,2005-01-01,2026-02-17,in_progress,Export parcel-level zoning and land-use context
housing_prices,REB/KOSIS,api_or_portal,https://www.reb.or.kr/r-one/main.do,no,data/raw/market/*price*,sigungu_month,2005-01-01,2026-02-17,in_progress,Use regional house price index series and map to sigungu-month
housing_transactions,MOLIT RTMS/KOSIS,api_or_portal,https://rt.molit.go.kr,no,data/raw/market/*transaction*,sigungu_month,2006-01-01,2026-02-17,in_progress,Export monthly transaction counts by sigungu
demography,KOSIS,api_or_portal,https://www.kosis.kr,possibly,data/raw/demographic/*,sigungu_month_or_year,2005-01-01,2026-02-17,in_progress,Population households and household composition controls
transit_stations,Public Data Portal (transport),portal/manual,https://www.data.go.kr,possibly,data/raw/transit/*,point,2026-01-01,2026-02-17,in_progress,Search keyword 전국도시철도역사정보표준데이터 and download station coordinates
housing_policy_events,MOLIT/FSC/FSS press release,manual_coding,https://www.molit.go.kr/USR/NEWS/m_71/lst.jsp;https://www.fsc.go.kr;https://www.fss.or.kr/fss/main.jsp,no,data/raw/policy/housing_policy_events.csv,event,2005-01-01,2026-02-17,in_progress,Code LTV/DTI and regulated-area policy events with effective dates
sr_policy_events,MOLIT/local gov notices,manual_coding,https://www.molit.go.kr/USR/NEWS/m_71/lst.jsp;https://www.localdata.go.kr,no,data/raw/policy/sr_policy_events.csv,event,2005-01-01,2026-02-17,in_progress,Code serviced-residence-specific regulatory interventions
